CountryCode,Country,SeriesCode,MDG,Series,1990,Footnotes,Type,1991,Footnotes,Type,1992,Footnotes,Type,1993,Footnotes,Type,1994,Footnotes,Type,1995,Footnotes,Type,1996,Footnotes,Type,1997,Footnotes,Type,1998,Footnotes,Type,1999,Footnotes,Type,2000,Footnotes,Type,2001,Footnotes,Type,2002,Footnotes,Type,2003,Footnotes,Type,2004,Footnotes,Type,2005,Footnotes,Type,2006,Footnotes,Type,2007,Footnotes,Type,2008,Footnotes,Type,2009,Footnotes,Type,2010,Footnotes,Type,2011,Footnotes,Type,2012,Footnotes,Type,2013,Footnotes,Type,2014,Footnotes,Type,2015,Footnotes,Type,2016,Footnotes,Type,2017,Footnotes,Type
"136","Cayman Islands","743","N","Primary completion rate, both sexes","","","","","","","","","","","","","","","","","","","","","","","","","","",""," "," "," "," "," "," "," "," "," "," "," "," ","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","","","","","",""," "," "," "," "," "," "," "," "," ","","",""," "," "," "," "," "," "," "," "," "
"140","Central African Republic","743","N","Primary completion rate, both sexes","30.2","","C","28.0","","C","22.5","","C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.6","","C","27.0","","C","27.1","","C","","","","36.4","","C","39.1","","C","41.2","","C","43.0","","C","45.3","","C","","","","","",""," "," "," "," "," "," "," "," "," "
"148","Chad","743","N","Primary completion rate, both sexes","16.6","","C","18.2","","C","","","","","","","18.2","","C","14.3","","C","14.9","","C","15.5","","C","","","","20.1","","C","22.2","","C","24.5","","C","27.3","","C","32.1","","C","33.6","","C","30.2","","C","29.8","","C","","","","","","","31.5","","C","31.3","","C","34.6","","C","35.3","","C","38.8","","C","","",""," "," "," "," "," "," "," "," "," "
"830","Channel Islands","743","N","Primary completion rate, both sexes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," "," "," "," "," "," "," "," "," "
"152","Chile","743","N","Primary completion rate, both sexes","","","","","","","","","","","","","","","","","","","","","","83.2","","C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.8","","C","97.3","","C","96.7","","C","","",""," "," "," "," "," "," "," "," "," "
"156","China","743","N","Primary completion rate, both sexes","105.9","","C","105.9","","C","99.6","","C","99.4","","C","99.8","","C","93.9","","C","88.8","","C","87.3","","C","","","","","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","","",""," "," "," ","","","","","","","","","","","","","","",""," "," "," "," "," "," "," "," "," "
"344","China, Hong Kong Special Administrative Region","743","N","Primary completion rate, both sexes","102.0","","C","101.0","","C","100.7","","C","102.0","","C","100.5","","C","98.4","","C","94.2","","C","","","","","",""," "," "," ","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","98.1","","C","97.9","","C","","","","91.5","","C","98.3","","C","96.2","","C","","",""," "," "," "," "," "," "," "," "," "
"446","China, Macao Special Administrative Region","743","N","Primary completion rate, both sexes","96.7","","C","","","","92.5","","C","95.3","","C","","","","","","","","","","","","","","","","100.0","","C"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","","",""," "," "," "," "," "," "," "," "," "
"170","Colombia","743","N","Primary completion rate, both sexes","73.6","","C","72.9","","C","81.8","","C","82.9","","C","82.6","","C","86.4","","C","87.6","","C","","","","93.4","","C","94.9","","C","94.9","","C","92.2","","C","92.6","","C","","","","100.0","","C","103.6","","C","109.4","","C","110.8","","C","110.4","","C","114.6","","C","113.4","","C"," "," "," "," "," "," "," "," "," ","","",""," "," "," "," "," "," "," "," "," "
"174","Comoros","743","N","Primary completion rate, both sexes","","","","","","","44.2","","C","38.6","","C","46.3","","C","","","","","","","","","","","","","52.8","","C","","","","","","","65.9","","E","65.5","","C","71.3","","C","","","","","","","71.3","","C","79.8","","C","","","","","","","","","","","","","73.8","","C","","",""," "," "," "," "," "," "," "," "," "
"178","Congo","743","N","Primary completion rate, both sexes","60.6","","C","55.9","","C","63.1","","C","64.5","","C","54.7","","C","","","","49.9","","C","","","","","","","31.8","","C"," "," "," ","57.4","","C","60.4","","C","57.1","","C","82.3","","C","71.9","","C","77.8","","C","75.9","","E","70.5","","C","69.5","","C","69.4","","C","76.1","","C","73.0","","C","","","","","",""," "," "," "," "," "," "," "," "," "
"184","Cook Islands","743","N","Primary completion rate, both sexes","","","","","","","","","","","","","","","","","","","","","","","","","97.6","","C","87.9","","C","","","","","","","","","","","","","","","","","","","","","","112.0","","C","","","","","","","100.0","","C","100.3","","C","103.8","","C","99.3","","C","","",""," "," "," "," "," "," "," "," "," "
"188","Costa Rica","743","N","Primary completion rate, both sexes","74.8","","C","79.5","","C","81.4","","C","83.3","","C","81.7","","C","80.3","","C","81.3","","C","","","","","","","81.2","","C","86.7","","C","90.3","","C","93.1","","C","","","","94.7","","C","93.9","","C","90.2","","C","92.1","","C","93.3","","C","95.9","","C","95.9","","C","98.7","","C","95.2","","C","90.0","","C","","",""," "," "," "," "," "," "," "," "," "
"384","Cote d'Ivoire","743","N","Primary completion rate, both sexes","42.1","","C","46.0","","C","41.8","","C","43.0","","C","43.0","","C","41.6","","C","43.0","","C","40.6","","C","40.9","","C","44.1","","C","44.9","","C","51.6","","C"," "," "," ","","","","","","","","","","47.8","","C","49.0","","C"," "," "," ","50.3","","C","","","","59.1","","C","61.2","","C","60.5","","C","","",""," "," "," "," "," "," "," "," "," "
"191","Croatia","743","N","Primary completion rate, both sexes","","","","","","","","","","","","","83.7","","C","80.8","","C","85.5","","C","87.0","","C","92.8","","C","92.1","","C","93.2","","C","95.8","","C","97.1","","C","94.5","","C","","","","98.6","","C","98.1","","C","101.3","","C","97.2","","C","93.1","","C","91.4","","C","93.7","","C","93.2","","C","","","","","",""," "," "," "," "," "," "," "," "," "
