CountryCode,Country,SeriesCode,MDG,Series,1990,Footnotes,Type,1991,Footnotes,Type,1992,Footnotes,Type,1993,Footnotes,Type,1994,Footnotes,Type,1995,Footnotes,Type,1996,Footnotes,Type,1997,Footnotes,Type,1998,Footnotes,Type,1999,Footnotes,Type,2000,Footnotes,Type,2001,Footnotes,Type,2002,Footnotes,Type,2003,Footnotes,Type,2004,Footnotes,Type,2005,Footnotes,Type,2006,Footnotes,Type,2007,Footnotes,Type,2008,Footnotes,Type,2009,Footnotes,Type,2010,Footnotes,Type,2011,Footnotes,Type,2012,Footnotes,Type,2013,Footnotes,Type,2014,Footnotes,Type,2015,Footnotes,Type,2016,Footnotes,Type,2017,Footnotes,Type
"188","Costa Rica","745","N","Primary completion rate, girls","","","","81.1","","C","83.1","","C","84.5","","C","83.5","","C","82.0","","C","84.1","","C","","","","","","","83.6","","C","88.6","","C","92.3","","C","93.9","","C","","","","95.7","","C","94.9","","C","91.8","","C","93.6","","C","95.6","","C","96.8","","C","97.0","","C","100.5","","C","96.7","","C","90.8","","C","","",""," "," "," "," "," "," "," "," "," "
"384","Cote d'Ivoire","745","N","Primary completion rate, girls","31.8","","C","33.4","","C","31.3","","C","32.4","","C","33.3","","C","32.1","","C","33.3","","C","31.3","","C","33.0","","C"," "," "," ","34.9","","C","41.1","","C"," "," "," ","","","","","","","","","","36.6","","C","40.3","","C"," "," "," ","42.0","","C","","","","52.9","","C","52.7","","C","53.5","","C","","",""," "," "," "," "," "," "," "," "," "
"191","Croatia","745","N","Primary completion rate, girls","","","","","","","","","","","","","","","","80.9","","C","85.0","","C","86.5","","C","92.5","","C","91.5","","C","92.3","","C","95.6","","C","95.8","","C","94.0","","C","","","","99.3","","C","97.4","","C","101.0","","C","97.7","","C","93.3","","C","91.4","","C","93.4","","C","92.9","","C","","","","","",""," "," "," "," "," "," "," "," "," "
"192","Cuba","745","N","Primary completion rate, girls","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.5","","C","96.2","","C","95.9","","C","100.5","","C","95.5","","C","91.5","","C","91.1","","C","90.0","","C","91.6","","C","88.5","","C","97.3","","C","98.8","","C","98.9","","C","95.8","","C","94.3","","C","","",""," "," "," "," "," "," "," "," "," "
"196","Cyprus","745","N","Primary completion rate, girls","78.7","","C","83.9","","C","81.7","","C","100.6","","C","104.5","","C","99.8","","C","96.1","","C","99.2","","C","","","","99.8","","C","97.3","","C","98.6","","C","100.9","","C","103.2","","C","87.0","","C","99.9","","C","101.4","","C","100.0","","C","99.7","","C","103.3","","C","100.9","","C","101.6","","C","99.7","","C"," "," "," ","","",""," "," "," "," "," "," "," "," "," "
"203","Czech Republic","745","N","Primary completion rate, girls","","","","","","","","","","99.2","","C","105.8","","C","","","","108.2","","C","","","","","","","99.5","","C","99.5","","C","99.1","","C","103.6","","C","97.2","","C","98.7","","C","97.6","","C","92.8","","C","95.5","","C","99.6","","C","105.8","","C","108.9","","C","105.3","","C","102.2","","C","101.8","","C","","",""," "," "," "," "," "," "," "," "," "
"180","Democratic Republic of the Congo","745","N","Primary completion rate, girls","","","","39.0","","C","36.1","","C","45.0","","C","36.9","","C","","","","","","","","","","","","","32.1","","C","","","","","","","33.9","","C","","","","","","","","","","","","","44.2","","C","49.3","","C","51.7","","E","55.0","","C","55.7","","C","62.1","","C","64.9","","C","","",""," "," "," "," "," "," "," "," "," "
"208","Denmark","745","N","Primary completion rate, girls","95.7","","C","98.1","","C","97.3","","C","99.6","","C","97.4","","C","","","","","","","","","","101.8","","C","101.4","","C","99.9","","C","101.6","","C","106.0","","C","","","","101.0","","C","100.5","","C","102.4","","C","102.0","","C","101.4","","C","98.2","","C","99.4","","C","99.8","","C","99.1","","C","100.1","","C","","",""," "," "," "," "," "," "," "," "," "
"262","Djibouti","745","N","Primary completion rate, girls","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.5","","E","21.1","","C","20.6","","C"," "," "," ","","","","","","","27.4","","C","32.9","","C"," "," "," ","41.4","","C"," "," "," ","","","","51.7","","C"," "," "," ","47.4","","C","55.4","","C"," "," "," "," "," "," "," "," "," "
"212","Dominica","745","N","Primary completion rate, girls","","","","","","","","","","","","","","","","","","","","","","","","","","","","138.0","","C","124.7","","E","120.3","","C","106.7","","C","98.7","","C","104.0","","C","106.3","","C","94.6","","C","96.6","","C","92.1","","C","84.5","","C","81.2","","C","99.5","","C","102.9","","C","102.5","","C","","",""," "," "," "," "," "," "," "," "," "
